society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
ireo the corridors,1.0,sector 67a,1003.0,2,2,2,1.0,New Property,flat,1296.0,0,0,0,0,0,1,55
czar mahira homes 63a,0.04,sector 63a,741.0,3,2,2,1.0,Under Construction,flat,630.0,0,0,0,0,0,1,0
not applicable,0.65,sector 4,13000.0,2,1,1,3.0,Moderately Old,house,500.0,0,0,0,0,0,1,7
independent,0.66,sector 6,10784.0,3,2,1,2.0,Old Property,house,612.0,0,0,0,0,0,1,36
sbtl caladium,1.0,sector 109,707.0,3,3,3+,10.0,Relatively New,flat,2000.0,0,0,0,0,0,1,174
independent,4.5,sector 26,33333.0,3,3,2,2.0,Old Property,house,1350.0,0,0,0,1,0,2,58
emaar mgf emerald floors premier,2.0,sector 65,1357.0,3,3,3,2.0,Relatively New,flat,1833.0,1,1,0,0,0,1,46
vatika independent floors,1.4,sector 82,8235.0,3,3,2,3.0,New Property,house,1700.0,0,0,0,1,0,1,61
zara aavaas,0.02,sector 104,730.0,1,2,2,2.0,New Property,flat,335.0,0,0,0,0,0,1,60
sare crescent parc,0.08,sector 92,538.0,3,3,3+,12.0,Relatively New,flat,1523.0,0,0,0,0,0,1,0
shree vardhman victoria,1.0,sector 70,820.0,3,5,3,6.0,Relatively New,flat,1527.0,0,1,0,0,0,1,108
independent,1.0,sector 3 phase 3 extension,6667.0,1,1,0,1.0,Moderately Old,house,1500.0,0,0,0,0,0,1,0
mapsko mount ville,1.0,sector 79,872.0,3,3,3,19.0,Relatively New,flat,1176.0,0,0,1,0,0,2,102
signature global orchard avenue,0.04,sector 93,735.0,2,2,2,11.0,New Property,flat,604.0,0,0,0,0,0,1,37
rof aalayas,0.04,sector 102,840.0,2,2,1,14.0,Relatively New,flat,568.0,0,0,0,0,0,0,57
ss the leaf,1.0,sector 85,807.0,3,4,3,7.0,Relatively New,flat,2400.0,0,1,0,0,0,1,174
eldeco accolade,0.07,sohna road,498.0,2,2,3+,12.0,Relatively New,flat,1131.0,1,0,0,0,0,1,152
zara aavaas,0.02,sector 104,664.0,1,1,1,3.0,Relatively New,flat,301.0,0,0,0,0,0,1,67
ansal housing highland park,0.08,sector 103,643.0,2,2,3,3.0,New Property,flat,1232.0,0,0,0,0,0,1,52
smart world gems,1.0,sector 89,1200.0,3,2,0,3.0,New Property,flat,1423.0,0,0,0,0,0,1,45
kamal residence,0.04,sohna road,763.0,2,2,1,0.0,New Property,flat,582.0,0,0,0,0,1,2,16
ireo skyon,3.0,sector 60,1279.0,3,3,3,9.0,Relatively New,flat,2300.0,0,1,0,0,0,2,165
m3m woodshire,1.0,sector 107,623.0,3,3,3,7.0,Moderately Old,flat,1713.0,0,0,0,0,0,2,126
bestech park view residency,1.0,sector 2,807.0,3,4,3+,10.0,Moderately Old,flat,1738.0,0,1,0,0,0,1,100
suncity avenue 76,0.75,sector 76,10067.0,2,2,2,11.0,New Property,house,745.0,0,0,0,0,0,1,40
la vida by tata housing,1.0,sector 113,1165.0,2,2,3,2.0,New Property,flat,1276.0,0,0,0,0,0,1,174
bestech park view ananda,1.0,sector 81,801.0,3,3,3,8.0,Relatively New,flat,1650.0,0,0,0,0,1,2,128
smart world orchard,2.0,sector 61,1446.0,3,3,2,3.0,New Property,flat,1402.0,0,0,0,0,1,1,61
shapoorji pallonji joyville gurugram,1.0,sector 102,993.0,2,2,2,9.0,Relatively New,flat,1230.0,0,0,0,0,0,1,100
international city by sobha phase 2,6.44,sector 109,26502.0,4,5,3+,3.0,New Property,house,2430.0,1,1,1,1,0,1,138
pivotal devaan,0.03,sector 84,725.0,2,2,2,4.0,Relatively New,flat,537.0,0,0,0,0,0,1,37
independent,0.65,sector 4,11111.0,4,2,2,2.0,Moderately Old,house,585.0,0,0,0,0,0,1,0
mvn athens,0.02,sohna road,590.0,2,2,1,4.0,Relatively New,flat,509.0,0,0,0,0,1,2,35
green court,0.03,sector 37,550.0,2,2,1,7.0,Under Construction,flat,767.0,0,0,0,0,0,1,35
antriksh heights,0.08,sector 84,437.0,3,3,3,8.0,Relatively New,flat,1833.0,0,0,0,1,0,1,67
the arzoo cghs,2.0,sector 51,913.0,4,4,3,1.0,Relatively New,flat,2300.0,0,0,0,0,0,1,58
dlf regency park,2.0,sector 28,1322.0,3,3,2,18.0,Old Property,flat,1608.0,0,1,0,0,0,1,120
m3m skywalk,2.0,sector 74,1338.0,3,3,3,13.0,New Property,flat,1826.0,0,0,1,0,0,1,92
sare homes,1.0,sector 92,535.0,4,4,3,4.0,Relatively New,flat,2286.0,0,1,0,0,0,1,108
shapoorji pallonji joyville gurugram,1.0,sector 102,1021.0,2,2,2,10.0,Relatively New,flat,1100.0,0,0,0,0,0,1,141
shree vardhman mantra,0.05,sector 67,700.0,2,2,1,8.0,New Property,flat,889.0,0,0,0,0,0,1,65
shri ram apartments,0.03,sector 4,337.0,2,2,1,4.0,Relatively New,flat,1056.0,0,0,0,0,0,2,7
hsiidc sidco shivalik apartments,0.07,manesar,356.0,3,3,3+,2.0,Moderately Old,flat,1705.0,0,1,0,0,0,1,80
alpha corp gurgaonone,1.0,sector 84,764.0,3,3,3,20.0,Relatively New,flat,1833.0,0,1,0,0,0,2,37
bestech park view ananda,0.08,sector 81,804.0,2,2,3,8.0,Relatively New,flat,1223.0,1,0,0,0,0,2,95
sare crescent parc royal greens phase 1,0.09,sector 92,501.0,4,5,3+,4.0,Moderately Old,flat,1717.0,0,1,0,0,0,1,37
emaar the palm drive,3.0,sector 66,1864.0,3,4,3,2.0,Relatively New,flat,2200.0,0,0,0,0,0,1,0
independent,1.5,sohna road,14245.0,2,3,2,1.0,New Property,house,1053.0,1,0,0,1,0,2,69
ats triumph,2.0,sector 104,1000.0,3,4,3+,15.0,New Property,flat,2544.0,0,1,0,0,0,1,117
m3m skywalk,1.0,sector 74,1095.0,2,2,3,26.0,New Property,flat,1281.0,0,0,0,0,0,2,31
corona optus,1.0,sector 37c,725.0,3,3,3,4.0,New Property,flat,1400.0,0,0,0,0,0,1,28
ramsons kshitij,0.03,sector 95,391.0,2,2,1,14.0,New Property,flat,694.0,0,0,0,0,1,2,79
the lions cghs,2.0,sector 56,953.0,4,4,3,7.0,Relatively New,flat,2000.0,0,1,0,0,1,2,49
dlf new town heights,1.0,sector 90,689.0,4,4,3+,20.0,Relatively New,flat,2726.0,0,1,0,1,0,1,145
dlf the ultima,2.0,sector 81,1008.0,3,3,3+,9.0,Relatively New,flat,1650.0,1,1,0,1,1,0,49
signature global park,0.06,sohna road,825.0,2,2,2,3.0,New Property,flat,916.0,0,0,0,0,0,1,113
not applicable,2.2,sector 11,12222.0,4,3,2,1.0,Old Property,house,1800.0,1,0,0,1,0,1,24
breez global hill view,0.03,sohna road,560.0,2,2,2,14.0,Relatively New,flat,694.0,0,0,0,0,0,1,98
tulip violet,1.0,sector 69,904.0,3,3,2,1.0,Relatively New,flat,1428.0,0,0,0,1,0,1,102
ambience creacions,1.0,sector 22,1442.0,2,2,2,9.0,New Property,flat,1285.0,1,1,0,1,0,1,20
ambience creacions,2.0,sector 22,1371.0,3,3,3,8.0,Relatively New,flat,1600.0,0,0,0,0,1,2,125
godrej nature plus,1.0,sector 33,1050.0,3,2,2,18.0,Under Construction,flat,1857.0,0,0,0,0,0,1,67
vatika gurgaon,1.0,sector 83,631.0,3,3,2,2.0,Relatively New,flat,1792.0,0,1,0,0,0,1,119
ansal sushant lok ci,2.0,sector 43,1515.0,3,3,2,1.0,Old Property,flat,1467.0,0,1,0,0,0,0,15
signature global park,0.05,sohna road,725.0,2,1,3,1.0,New Property,flat,828.0,0,0,0,0,0,1,65
vatika xpressions,0.09,sector 88b,736.0,2,2,2,3.0,Relatively New,flat,1300.0,0,0,0,1,0,1,174
housing board colony,0.03,sector 51,463.0,1,1,0,0.0,Moderately Old,flat,80.0,1,0,0,0,0,1,15
dlf the skycourt,1.0,sector 86,824.0,3,3,3,17.0,Relatively New,flat,1700.0,0,0,0,0,1,2,165
bestech park view city,2.0,sector 48,1032.0,4,4,3+,11.0,Moderately Old,flat,2134.0,1,1,0,0,0,2,174
shapoorji pallonji joyville gurugram,1.0,sector 102,1551.0,3,3,3+,1.0,Relatively New,flat,1465.0,0,0,0,0,0,1,49
dlf the ultima,2.0,sector 81,1173.0,3,3,2,20.0,Relatively New,flat,1700.0,0,1,0,0,0,0,174
ashiana mulberry,1.0,sohna road,541.0,2,2,3,1.0,New Property,flat,1175.97,1,0,0,0,0,1,49
paras dews,1.0,sector 106,561.0,4,5,3+,11.0,Relatively New,flat,1535.0,0,1,0,0,0,1,49
m3m heights,2.0,sector 65,1848.0,2,2,3,35.0,Under Construction,flat,1141.0,0,0,0,0,0,2,49
pivotal riddhi siddhi,0.07,sector 99,95.0,2,2,2,12.0,Relatively New,flat,784.0,0,0,1,0,0,1,31
dlf the ultima,2.0,sector 81,1119.0,3,4,3+,14.0,Relatively New,flat,1760.0,0,1,0,0,0,0,174
independent,5.0,sector 14,22222.0,3,3,3,1.0,Moderately Old,house,2250.0,0,0,0,0,0,1,25
tulip violet,1.0,sector 69,893.0,3,3,1,12.0,Relatively New,flat,1419.0,0,0,0,0,0,1,157
ss the leaf,1.0,sector 85,732.0,2,2,3+,14.0,Relatively New,flat,1380.0,0,0,1,0,0,1,141
deepak minda,1.0,manesar,472.0,3,3,3+,6.0,Moderately Old,flat,2944.0,0,1,0,0,0,1,44
independent,0.49,sohna road road,4261.0,2,2,1,3.0,New Property,house,1150.0,0,0,0,0,0,1,0
emaar mgf emerald floors premier,3.0,sector 65,1772.0,4,4,3,4.0,Relatively New,flat,16929.0,0,1,0,0,0,2,114
ansals duplex flat,0.09,sector 2,731.0,2,3,2,1.0,Old Property,flat,1444.0,1,0,0,0,0,2,20
independent,4.45,sector 49,15451.0,6,6,3,3.0,Moderately Old,house,2880.0,1,1,1,1,0,0,152
bestech park view grand spa,2.0,sector 81,846.0,3,4,3+,8.0,Relatively New,flat,2300.0,1,1,1,0,0,2,122
emaar gurgaon greens,1.0,sector 102,909.0,3,3,3,7.0,Relatively New,flat,1315.0,0,0,0,1,0,2,174
sanskriti apartment,1.0,sector 10a,667.0,3,3,3,2.0,Moderately Old,flat,1833.0,0,0,0,0,0,1,22
smart world gems,0.09,sector 89,880.0,2,2,3+,2.0,New Property,flat,1103.0,0,0,0,0,0,1,49
puri emerald bay,1.0,sector 104,882.0,2,3,3,23.0,New Property,flat,1538.0,0,1,0,0,0,1,36
bestech park view ananda,0.08,sector 81,795.0,2,2,3,8.0,Relatively New,flat,1300.0,0,0,0,0,0,2,95
supertech hues,0.09,sector 68,861.0,2,2,2,11.0,New Property,flat,1200.0,0,0,0,0,0,1,0
ansal api esencia,1.0,sector 67,741.0,3,3,2,1.0,Relatively New,flat,200.0,0,0,0,0,0,1,49
zara aavaas,0.04,sector 104,658.0,3,2,2,7.0,Under Construction,flat,695.0,0,0,0,0,0,1,74
meditech apartment,2.0,sector 56,817.0,4,4,3+,1.0,Relatively New,flat,2900.0,0,0,0,0,1,2,118
international city by sobha phase 2,9.5,sector 109,26389.0,7,6,3,3.0,Relatively New,house,3600.0,1,1,0,1,0,1,138
dlf the ultima,2.0,sector 81,1123.0,3,4,3+,18.0,Relatively New,flat,1558.0,0,1,0,0,0,1,106
the lions cghs,2.0,sector 56,788.0,4,4,3+,7.0,Old Property,flat,2600.0,0,0,1,0,0,2,120
rof ananda,0.03,sector 95,6.0,2,2,1,13.0,Relatively New,flat,55556.0,0,0,0,0,0,1,37
paras dews,1.0,sector 106,653.0,3,4,3+,12.0,Relatively New,flat,1186.0,1,1,0,0,0,2,174
aipl the peaceful homes,2.0,sector 70a,1201.0,3,2,2,12.0,Moderately Old,flat,2406.0,0,1,0,0,0,1,52
puri emerald bay,2.0,sector 104,1047.0,3,4,3+,4.0,Relatively New,flat,2303.0,0,1,0,0,0,2,159
sukhshanti apartment,1.0,sector 56,701.0,3,3,3+,5.0,Moderately Old,flat,2131.0,1,0,0,0,0,2,134
sapphire eighty three,0.06,sector 83,929.0,1,1,0,6.0,Relatively New,flat,700.0,0,0,0,0,0,1,0
sanskriti apartments,2.0,sector 43,1351.0,3,2,3,5.0,Old Property,flat,1674.0,1,0,0,0,0,1,0
godrej summit,1.0,sector 104,639.0,3,4,3+,8.0,Relatively New,flat,2018.0,0,1,0,0,0,2,96
mapsko mount ville,1.0,sector 79,802.0,3,3,2,6.0,Relatively New,flat,1215.0,1,0,0,1,0,1,151
piedmont taksila heights,1.0,sector 37c,651.0,3,3,3+,8.0,Relatively New,flat,1708.0,0,0,0,0,0,2,49
tulip leaf,2.0,sector 69,1142.0,3,3,3,16.0,Relatively New,flat,1640.0,0,0,0,0,0,1,49
godrej aria,1.0,sector 79,906.0,2,2,3+,9.0,Relatively New,flat,1494.0,1,0,0,0,0,1,113
experion windchants,3.0,sector 112,1213.0,3,3,2,14.0,Relatively New,flat,2225.56,0,0,0,0,0,2,159
umang monsoon breeze,0.09,sector 78,549.0,3,3,2,9.0,Relatively New,flat,1730.0,0,0,0,0,0,2,65
signature global solera,0.05,sector 107,791.0,3,2,2,9.0,Relatively New,flat,717.0,0,0,0,0,1,1,15
shree vardhman flora,0.06,sector 90,482.0,2,2,3,10.0,Moderately Old,flat,1222.0,1,0,0,0,0,2,83
ss almeria,1.0,sector 84,740.0,3,3,2,1.0,New Property,flat,1624.0,0,1,1,0,0,2,139
ansal heights 86,0.07,sector 86,544.0,2,2,1,11.0,Under Construction,flat,1231.0,0,0,0,0,1,1,45
tulip violet,1.0,sector 69,893.0,3,3,1,12.0,Relatively New,flat,1376.0,0,0,0,1,0,1,174
shree vardhman flora,0.09,sector 90,462.0,3,4,3,4.0,Relatively New,flat,1765.0,0,1,0,0,0,1,165
shree vardhman victoria,1.0,sector 70,795.0,3,3,3,6.0,Relatively New,flat,1527.0,1,1,0,1,1,1,49
hsiidc sidco aravali,0.09,manesar,352.0,3,3,3+,8.0,Moderately Old,flat,1900.0,0,1,0,0,0,1,23
ss the leaf,2.0,sector 85,830.0,3,4,3,6.0,Relatively New,flat,2300.0,0,1,0,0,0,1,49
conscient heritage max,1.0,sector 102,1133.0,3,4,3+,8.0,Relatively New,flat,1700.0,0,1,0,1,0,2,174
ild grand,0.06,sector 37c,504.0,2,2,3+,14.0,Relatively New,flat,1310.0,0,0,0,0,0,1,60
supertech araville,0.07,sector 79,602.0,2,2,3+,17.0,Relatively New,flat,1172.0,0,0,0,0,0,1,24
the close north,2.0,sector 50,1199.0,3,3,3,11.0,Moderately Old,flat,1894.0,0,0,1,1,0,2,109
spire woods now ananda by alpha corp,1.0,sector 103,690.0,3,4,3,11.0,Under Construction,flat,2012.0,1,1,0,0,0,1,105
orris carnation residency,1.0,sector 85,669.0,3,4,3,6.0,Moderately Old,flat,1467.0,0,1,0,0,0,0,65
ashiana apartment,0.01,sector 23,205.0,2,2,2,1.0,Moderately Old,flat,706.0,0,0,0,0,0,1,0
pyramid urban,0.05,sector 67a,1053.0,2,2,2,3.0,Relatively New,flat,581.0,0,0,0,0,0,1,73
ss the leaf,1.0,sector 85,735.0,3,4,3+,7.0,New Property,flat,2179.0,0,0,1,0,0,1,107
godrej nature plus,1.0,sector 33,918.0,2,2,3+,9.0,Under Construction,flat,1252.0,0,0,0,0,0,1,38
dlf city plots phase 2,15.5,sector 25,34307.0,5,6,3+,3.0,Moderately Old,house,4518.0,1,1,1,1,0,1,144
orris carnation residency,0.08,sector 85,595.0,3,3,1,1.0,Relatively New,flat,1344.0,0,0,0,0,0,1,65
chd avenue,1.0,sector 71,741.0,3,3,3,4.0,Relatively New,flat,1466.0,0,0,0,0,1,2,49
aipl the peaceful homes,2.0,sector 70a,1191.0,3,4,3,22.0,Relatively New,flat,1798.0,0,1,0,0,0,1,49
independent,14.0,sector 43,39886.0,9,9,3+,4.0,Moderately Old,house,3510.0,0,1,0,0,0,1,7
sare crescent parc royal greens phase 1,0.07,sector 92,609.0,3,2,2,15.0,New Property,flat,1175.0,0,0,0,0,0,1,25
m3m the marina,2.0,sector 68,1432.0,3,2,3,4.0,Relatively New,flat,1403.0,0,0,0,0,0,1,44
the castle society,2.0,sector 56,869.0,4,4,2,4.0,Under Construction,flat,2081.0,0,0,0,0,0,1,0
signature global park,0.09,sohna road,785.0,3,2,3+,3.0,New Property,flat,1210.0,0,0,0,0,0,1,85
shree vardhman victoria,1.0,sector 70,793.0,2,2,3,8.0,Relatively New,flat,1222.0,1,0,0,0,0,1,108
dlf carlton estate,2.0,sector 43,1421.0,3,3,2,5.0,Moderately Old,flat,1273.0,0,0,0,0,0,1,65
dlf the grove,6.0,sector 43,2500.0,4,4,2,1.0,Under Construction,flat,2667.0,0,1,0,0,0,2,49
godrej oasis,2.0,sector 88a,1675.0,3,3,3+,10.0,New Property,flat,138.0,0,0,0,0,0,1,110
m3m golfestate,5.0,sector 65,1667.0,3,3,3,2.0,Relatively New,flat,3245.0,0,1,0,0,0,2,174
the center court,2.0,sector 88a,1217.0,4,4,3,0.0,New Property,flat,1745.0,1,1,0,0,0,1,142
tarc maceo,0.09,sector 91,541.0,2,2,3+,8.0,Moderately Old,flat,1271.0,0,0,0,0,0,1,85
residency grand,5.0,sector 52,769.0,5,7,3+,1.0,Moderately Old,flat,5778.0,0,1,0,1,0,1,77
signature global the millennia 3,0.04,sector 37d,763.0,2,3,2,8.0,Under Construction,flat,656.0,0,0,0,0,0,1,8
conscient heritage max,1.0,sector 102,901.0,3,4,3+,12.0,Relatively New,flat,1757.0,0,1,0,0,0,1,101
dlf city plots phase 2,4.5,sector 25,33333.0,5,3,2,3.0,Old Property,house,1350.0,0,0,1,1,0,1,25
ramprastha the edge towers,1.0,sector 37d,565.0,3,3,3+,13.0,Moderately Old,flat,1602.0,0,0,0,0,0,1,38
independent,4.25,sector 31,26235.0,5,5,3+,3.0,Moderately Old,house,1620.0,0,0,1,1,0,2,56
breez global hill view,0.03,sohna road,513.0,2,2,1,11.0,New Property,flat,650.0,0,0,0,0,0,1,91
smart world gems,0.09,sector 89,860.0,2,2,2,4.0,New Property,flat,1226.0,1,1,0,0,0,1,38
independent,0.7,sector 4,6648.0,3,3,0,1.0,Moderately Old,house,117.0,0,0,0,0,0,1,0
independent,3.0,sector 7,11494.0,7,7,0,3.0,Old Property,house,2610.0,0,0,0,0,0,1,0
mvn athens,0.02,sohna road,539.0,2,2,1,5.0,Relatively New,flat,535.0,0,0,0,0,0,1,95
dlf regal gardens,1.0,sector 90,550.0,3,3,3+,2.0,Relatively New,flat,1500.0,0,0,0,0,1,1,72
vatika signature villas,5.0,sector 82,15432.0,4,4,3+,3.0,Relatively New,house,3240.0,0,1,1,1,0,1,24
godrej nature plus,1.0,sector 33,1313.0,2,2,3,8.0,Under Construction,flat,85.0,0,0,0,0,0,1,56
independent,10.5,sector 28,32407.0,5,6,3+,3.0,New Property,house,3240.0,1,1,0,1,0,2,153
raheja revanta,1.0,sector 78,1002.0,1,2,2,32.0,Under Construction,flat,823.0,0,0,0,0,0,1,39
apna enclave,0.05,sector 3,579.0,2,2,2,2.0,Old Property,flat,900.0,0,0,0,0,0,1,66
experion the heartsong,2.0,sector 108,824.0,4,5,3+,8.0,Relatively New,flat,2779.0,0,1,0,0,0,2,95
dlf new town heights,1.0,sector 90,596.0,3,3,3+,9.0,Relatively New,flat,1747.0,0,1,0,1,0,1,88
vatika gurgaon,1.0,sector 83,645.0,3,3,2,4.0,Relatively New,flat,1200.0,1,1,1,1,0,2,165
independent,6.25,sohna road road,6944.0,3,3,0,1.0,Moderately Old,house,9000.0,0,0,0,0,0,1,0
deepak minda,1.0,manesar,471.0,4,4,3+,6.0,Moderately Old,flat,2946.0,0,0,0,0,0,2,44
hero homes,1.0,sector 104,1583.0,3,2,2,4.0,Under Construction,flat,1120.0,0,0,0,0,0,1,49
mapsko mount ville,1.0,sector 79,826.0,3,4,3+,11.0,Relatively New,flat,1416.0,0,1,0,0,0,2,144
mapsko mount ville,1.0,sector 79,856.0,3,3,3,16.0,Relatively New,flat,1265.0,1,0,0,0,0,2,128
signature global orchard avenue,0.08,sector 93,1423.0,2,2,0,10.0,Relatively New,flat,597.0,0,0,0,0,0,1,0
tulip violet,1.0,sector 69,889.0,3,3,2,1.0,Relatively New,flat,1305.0,0,0,0,1,0,1,86
dlf express greens,1.0,manesar,650.0,3,4,2,5.0,Relatively New,flat,1670.0,0,1,0,0,1,1,43
independent,8.31,sector 57,24171.0,5,6,3+,4.0,Old Property,house,3438.0,1,1,1,1,0,1,34
unitech heritage city,4.0,sector 14,1311.0,4,4,0,9.0,Old Property,flat,3250.0,0,0,0,0,0,1,0
professional society,0.07,manesar,307.0,3,4,3,3.0,Relatively New,flat,2717.0,0,1,0,0,0,1,21
dlf 76,4.0,sector 92,1143.0,4,4,2,4.0,Under Construction,flat,3889.0,1,1,0,0,0,2,101
vatika sovereign park,3.0,sector 99,992.0,4,4,0,5.0,Under Construction,flat,3225.0,0,0,0,0,0,1,23
m3m heights,1.0,sector 65,1579.0,2,2,2,26.0,Under Construction,flat,1140.0,0,0,0,0,0,1,48
nul,0.05,gwal pahari,605.0,2,2,1,11.0,Old Property,flat,1028.0,0,0,0,0,0,2,0
m3m merlin,2.0,sector 67,1456.0,3,3,3,0.0,Relatively New,flat,1852.0,0,0,0,0,1,2,49
antriksh heights,0.06,sector 84,500.0,2,2,2,14.0,Relatively New,flat,1086.0,0,0,0,0,0,1,52
corona gracieux,0.07,sector 76,566.0,2,2,3,13.0,Relatively New,flat,1199.0,0,0,0,0,0,2,0
smart world orchard,1.0,sector 61,1278.0,2,2,2,4.0,New Property,flat,1278.0,1,0,0,1,0,1,53
imperia the esfera,0.08,sector 37c,551.0,2,3,3+,9.0,New Property,flat,1428.0,1,0,0,0,0,1,49
godrej air,1.0,sector 85,1000.0,2,2,3,23.0,Relatively New,flat,1400.0,0,0,0,0,0,1,44
ss the leaf,2.0,sector 85,818.0,4,4,3+,8.0,Relatively New,flat,2545.0,0,1,0,0,0,1,21
godrej icon,1.0,sector 88a,1002.0,3,2,3+,10.0,Relatively New,flat,1463.0,1,0,0,0,0,0,49
sare green parc phase 3,0.07,sector 92,714.0,3,2,2,3.0,New Property,flat,1298.0,0,0,0,0,0,1,121
antriksh heights,0.09,sector 84,493.0,3,3,3,11.0,Relatively New,flat,1652.0,0,0,0,0,0,1,87
spaze privy at,1.0,sector 84,964.0,3,3,3,7.0,Relatively New,flat,1750.0,0,0,0,1,0,1,90
smart world gems,1.0,sector 89,997.0,2,2,2,3.0,New Property,flat,1226.0,0,0,1,0,0,1,77
ansal api celebrity suites,0.06,sector 2,816.0,1,1,1,5.0,Moderately Old,flat,665.0,0,0,0,0,0,2,88
ats tourmaline,2.0,sector 109,890.0,3,4,3+,10.0,New Property,flat,2339.0,0,1,0,0,1,1,74
m3m woodshire,1.0,sector 107,1082.0,3,3,3,7.0,Relatively New,flat,1547.0,0,0,0,1,0,1,89
ireo skyon,2.0,sector 60,1313.0,3,4,3+,7.0,Moderately Old,flat,2037.0,0,1,0,0,0,2,152
malibu towne,1.15,sector 47,4646.0,3,3,3,2.0,Old Property,house,275.0,0,0,0,0,0,2,33
independent,18.25,sector 26,18250.0,7,9,3+,4.0,Relatively New,house,11111.0,1,1,1,1,0,2,77
ireo the corridors,1.0,sector 67a,953.0,3,4,3,4.0,New Property,flat,1941.0,1,0,1,0,0,2,150
rof ananda,0.02,sector 95,546.0,1,1,1,9.0,Relatively New,flat,407.0,0,0,0,1,0,1,52
signature global park,0.05,sohna road,681.0,2,2,3,3.0,New Property,flat,913.0,0,0,0,0,0,1,111
m3m latitude,4.0,sector 65,2679.0,3,3,3,7.0,New Property,flat,14931.0,1,1,1,1,0,1,115
conscient heritage max,1.0,sector 102,906.0,3,4,3+,16.0,Relatively New,flat,1748.0,0,1,0,0,0,2,134
independent,1.9,sector 43,3909.0,3,3,3+,3.0,Old Property,house,60.0,0,0,0,0,0,0,0
independent,12.5,sector 26,38580.0,5,5,3+,2.0,Old Property,house,3240.0,1,1,1,1,0,2,79
dlf icon,5.0,sector 43,2071.0,4,4,3+,18.0,Old Property,flat,2801.0,0,0,0,0,0,1,0
emaar gurgaon greens,1.0,sector 102,848.0,3,3,3,3.0,Relatively New,flat,1315.0,0,1,0,0,0,1,60
sbtl caladium,1.0,sector 109,638.0,3,2,2,8.0,Relatively New,flat,1701.0,0,0,0,0,0,1,151
godrej aria,1.0,sector 79,852.0,3,3,2,7.0,Relatively New,flat,1795.0,0,0,0,0,0,1,112
independent,2.5,sector 11,17857.0,5,4,3,1.0,Old Property,house,1850.0,0,0,1,0,0,1,0
sobha city,1.0,sector 108,1376.0,2,2,2,8.0,Relatively New,flat,1250.0,0,0,0,0,0,1,85
dlf the ultima,2.0,sector 81,1076.0,3,4,3+,17.0,New Property,flat,1900.0,0,1,0,0,0,0,174
tulip violet,1.0,sector 69,1013.0,3,3,2,0.0,Relatively New,flat,1482.0,0,0,0,0,0,1,157
tulip violet,1.0,sector 69,886.0,4,4,2,10.0,Relatively New,flat,1819.0,0,0,0,1,0,2,156
shapoorji pallonji joyville gurugram,2.0,sector 102,1271.0,3,3,3,10.0,Relatively New,flat,1690.0,0,0,0,0,0,2,49
orris aster court premier,1.0,sector 85,586.0,4,5,3+,6.0,New Property,flat,2017.0,0,1,0,0,0,2,28
capital residences 360,1.0,sector 70a,759.0,2,2,2,10.0,Relatively New,flat,1312.0,1,0,0,0,0,1,42
vatika gurgaon,0.07,sector 83,602.0,2,2,2,19.0,Relatively New,flat,1150.0,0,0,0,0,1,2,105
dlf city plots,13.5,sector 26,29880.0,5,5,3,2.0,Old Property,house,4518.0,1,1,1,1,0,2,110
m3m soulitude,1.0,sector 89,878.0,3,3,2,3.0,New Property,flat,1581.0,1,0,0,0,0,1,49
conscient elevate,4.0,sector 59,1750.0,3,3,1,3.0,Under Construction,flat,2550.0,0,0,0,0,0,1,31
pareena coban residences,1.0,sector 99a,879.0,2,2,3,3.0,Relatively New,flat,1430.0,1,0,0,0,0,1,174
ats kocoon,1.0,sector 109,974.0,3,3,3,22.0,Relatively New,flat,1550.0,0,0,0,0,0,1,74
essel towers,2.0,sector 14,1250.0,3,4,3+,3.0,Old Property,flat,1956.0,0,0,0,0,0,1,0
ansals florence villa,3.65,sector 57,10580.0,6,6,2,3.0,Moderately Old,house,3450.0,1,1,1,1,0,0,152
bptp terra,1.0,sector 37d,879.0,3,3,2,15.0,Relatively New,flat,1699.0,0,0,0,0,0,1,116
bptp terra,1.0,sector 37d,730.0,4,3,3+,7.0,Relatively New,flat,2000.0,0,0,0,0,1,2,139
bestech spa signature,4.0,sector 81,1059.0,4,4,3+,8.0,Relatively New,flat,3850.0,1,1,0,1,1,2,49
uppal southend,6.75,sector 49,32328.0,4,4,3,3.0,Relatively New,house,2088.0,0,1,0,0,0,2,26
emaar gurgaon greens,1.0,sector 102,921.0,3,3,3,7.0,Relatively New,flat,1315.0,0,1,0,0,0,2,137
supertech araville,0.07,sector 79,606.0,2,2,3+,17.0,New Property,flat,1280.0,0,0,0,0,1,1,53
indiabulls enigma,4.0,sector 110,985.0,4,4,3,17.0,New Property,flat,3350.0,0,0,0,0,0,1,59
emaar mgf emerald floors premier,2.0,sector 65,1545.0,3,3,3,3.0,Relatively New,flat,1469.0,1,1,0,0,0,1,21
signature global orchard avenue,0.04,sector 93,548.0,2,2,0,0.0,Relatively New,flat,730.0,0,0,0,0,0,1,0
eldeco accolade,1.0,sector 33,804.0,2,2,2,0.0,Under Construction,flat,1492.0,0,0,0,0,0,1,56
